userid venueid
31138253 4a43bcb7f964a520bba61fe3
16055875 49e79ffdf964a520e3641fe3
15189840 4f75f75de4b06bdc2f7afef6
15189840 4bb7a106cf2fc9b6e5869e02
15189840 4c6586789cb82d7fc10e8ed2
15189840 4aa37fb3f964a520f64320e3
12154528 508d71fae4b086e59ac0dc1a
29535130 4b9e8837f964a52076ec36e3
29535130 4b632a43f964a520a3672ae3
29535130 4ed93b1c9a5286d91deadd5c
29535130 49bdcdabf964a5209b541fe3
29535130 4bb77e361261d13a9a59e798
29535130 4bd610266798ef3b8583648d
29535130 4aea6a63f964a52073bb21e3
29535130 4d80c441360b224b4befdf56
337516 4a2ef250f964a5208b981fe3
398295 537124ae11d2759d4d565166
398295 4cae5172cbab236a20768f73
20286981 4acf3441f964a520b8d220e3
20286981 4bb52afeef159c74446274f7
20286981 4b0dc7bcf964a520035023e3
20286981 45d9dac5f964a520f2421fe3
53684 4085b980f964a52093f21ee3
53684 40b7d280f964a52091001fe3
20648727 4493522af964a5207c341fe3
680604 520f8f0f11d2dfc90d6ac365
680604 4d524421c5ff6ea8c090ac07
2533361 4ad6567af964a520a60621e3
2533361 4bbc1216e436ef3b33395664
2533361 4db339bb93a017099dbf7231
2533361 4aeca150f964a520a7c921e3
2533361 4df0b3a8fa76042fed6f4b0b
2533361 4a3b08fdf964a52086a01fe3
2533361 4a55c1f7f964a52046b41fe3
245591 40db6b00f964a5207d011fe3
1001216 49e03a9df964a52047611fe3
1001216 4a2578a8f964a520567e1fe3
1001216 43eb7d31f964a520392f1fe3
1001216 43f4dc37f964a5209f2f1fe3
1001216 519ec122498e505febe8df9b
1001216 51a00442498ef989edb82b7c
1001216 4e555696d4c0c50afda6168f
1001216 4ee0ecde29c2c6e332924109
1001216 4b5f8ea2f964a52080c129e3
46688752 3fd66200f964a5202bed1ee3
46688752 53471cf1498ed6f23f071ed1
46688752 523bc00411d20b49a72fc444
46688752 4ce74d7d0f196dcb1cb13dae
46688752 4ce74d7d0f196dcb1cb13dae
46688752 4ab6d922f964a520497920e3
46688752 4b1dc883f964a520431524e3
7018499 518642ad498e1d5b5b9ea0fe
7018499 4f4691bee4b0de07e5e5d0ef
7018499 506999663d7cfe42e733a9b3
7018499 5036b369cc6417d4bcd9a194
7018499 4ac518c4f964a52069a420e3
7018499 4ae753ecf964a52073aa21e3
7018499 4d1fb61ae56f6ea824566f1d
5043682 4af1fd6ff964a520fbe421e3
3397670 5373ca1c498e195a35dde6ce
392784 4a044315f964a520ea711fe3
392784 4a044315f964a520ea711fe3
392784 4a6212e9f964a520fac21fe3
1014741 53467a98498e44ecccd11e9c
42226785 4cfafece7f2db1f7081f2bd4
6850034 4af9a2caf964a520c01222e3
6850034 4ffc8d72e4b0f8e8b05e797c
6850034 4bb27dac4019a59341e936b8
6850034 4b4e3e76f964a5209be626e3
6850034 4b784cfaf964a5207dc32ee3
6850034 4d8548acf9f3a1cdf6fcc864
6850034 501d3998e4b0ad6cc8c7efae
6850034 4ace6c89f964a52078d020e3
6850034 4cddebf7aba88cfa802b3ed7
6850034 40bd1880f964a520bc001fe3
6850034 4b53c09ff964a5204caa27e3
6850034 49d13e72f964a5206a5b1fe3
6850034 4b64b339f964a5206ec92ae3
6850034 4b9be0def964a520813036e3
6850034 4b047108f964a520315422e3
6850034 4c967de9533aa093cc48d245
6850034 4cddebf7aba88cfa802b3ed7
6850034 4cddebf7aba88cfa802b3ed7
8461898 4ab50946f964a520227220e3
8461898 4ad2492af964a520b2e020e3
7979076 4b078937f964a52087fe22e3
7979076 5334524a498ef09c24f38dcc
7979076 5334524a498ef09c24f38dcc
7979076 4fc6bf6be4b08b663d8bb6d7
276531 4bf21efd3fa220a102191920
10232260 4ba102f9f964a520ba8e37e3
10232260 4a688ba1f964a52088ca1fe3
625969 4be30a5463609c7454d71bff
26324545 4a66e546f964a520d8c81fe3
26324545 4a66e546f964a520d8c81fe3
1450795 4b69be13f964a52040b12be3
1450795 4b69be13f964a52040b12be3
1450795 52ea324d498e0d493c8cc450
1450795 4cf89aed7b44224bdf1dd005
1450795 4b5ddbbcf964a5204e7029e3
1450795 4b61779af964a5208b142ae3
1450795 51ecd046498eff8415ab5082
1450795 4dba743fa86ede8c0f9aba50
1450795 4dba743fa86ede8c0f9aba50
1450795 4bdf206789ca76b041b15d5e
1450795 4b9da40ef964a520bfb736e3
14087547 4bd7e3660b779c74ea1606a0
14087547 4b9bee26f964a5202c3736e3
14087547 4da59be36a23904516ce626e
12230583 5375e856498ed2c7365e3bcc
8433419 4dfb9e7b88775f8b52f9cb1e
71163911 51f3151f8bbdf39814ad7364
71163911 4eac912b02d5cf33fa149b0d
71163911 4c2a7caeb34ad13a3b5be8ce
71163911 4dc40de5d4c0ad9c0f642bcf
71163911 4c2a7caeb34ad13a3b5be8ce
71163911 4d7900e6f20c236a1fc3a341
71163911 4c2a7caeb34ad13a3b5be8ce
71163911 4dc40de5d4c0ad9c0f642bcf
71163911 4d7900e6f20c236a1fc3a341
48199958 4edf6da46c25b6f303f135c0
48199958 4edf6da46c25b6f303f135c0
48199958 4dbb3fe3815439392f8cdd85
48199958 4edf6da46c25b6f303f135c0
48199958 4bfdaeea83bbd13a1e0d63c5
48199958 4edf6da46c25b6f303f135c0
48199958 4ee36df061aff5a340c4b819
48199958 4ea9952b2c5b8d39ca3df298
48199958 4fe6795ce4b04d88c65c19f4
48199958 4bfdaeea83bbd13a1e0d63c5
48199958 51f96d5f498ee189517446d0
48199958 4ee36df061aff5a340c4b819
48199958 4edf6da46c25b6f303f135c0
48199958 4dbb3fe3815439392f8cdd85
48199958 518cf53d498e1da56f187b6c
48199958 51705034e4b03b58a6d4c9a6
48199958 51002ee3e4b07ef68dc33601
48199958 4ee11323f5b9120fe9e59297
76796567 4b535ddcf964a5204a9927e3
76796567 4e3d975162e19d610970b25b
76796567 4e48405281305ff36220c7ac
76796567 4f4a9d52e4b030691ba6af9e
76796567 4c0826aa6071a593cccfdb32
76796567 4c01acf73ab80f476c8f90ff
76796567 4f9b627be4b043736f3c4526
76796567 4e7a139462e164555323f22c
76796567 4e2b5fccc65bcaf4002e9e37
76796567 4e2b5fccc65bcaf4002e9e37
76796567 4c7ac48abd346dcb2e8ff9ef
76796567 500aef1be4b0e68938032833
76796567 4c56c219b7a31b8deb9c4eda
76796567 4e0cda70b3ad1a0fa6625ed6
76796567 4cb752159c7ba35d83429806
76796567 4e145fc1fa7622d439e96a8e
76796567 4c4f3b638b5520a1a5f32804
76796567 500190f8e4b000090f0ae096
76796567 4bc0e3bbb492d13a841aa560
76796567 5053aee0e4b07f9d62689c62
54135755 4d820334c8bdb1f7d2a6d4c2
54135755 5366454e498eeb439fe3fe6d
54135755 4c7bc17f81bca093c0070415
54135755 52c77ad411d2faa813ad538c
54135755 4c7bc17f81bca093c0070415
54135755 5320cdc811d2041b58becad2
54135755 4e71e03252b16b24918d39c0
54135755 5148851ce4b08f1e65cc2af7
54135755 4e6b71e045ddadf2d0e81618
54135755 4d751654d0c73704feabf917
54135755 4f5bc6dfe4b053fd6809febf
54135755 518c3251498e40ae4d42e261
54135755 521a9491498e47d577533ac2
54135755 518c3251498e40ae4d42e261
54135755 5281c757498e4b4bbe3c0aa1
54135755 4e7e61530aafd656ed6042f3
54135755 53037d5c498e05d750ea362f
54135755 4bd7790c09ecb713a8fe467c
54135755 4bbde361a8cf76b07748b2fd
54135755 53448a5d498ecaea713e6439
1376041 5336cc7d498edc007d532bbe
1376041 4b4389b8f964a520b5e225e3
1376041 4f91734de4b0ff5a518e78a2
1376041 4c502dcedcb5d13a558a8d08
1376041 4b03a460f964a520f34f22e3
1376041 4dea0d2945dd3993a880a411
1376041 4f2244464fc60fecfe9fddb0
1376041 4af57ab3f964a52054f921e3
1376041 4c502dcedcb5d13a558a8d08
32531395 4a27db0ef964a5208e911fe3
32531395 4a27db0ef964a5208e911fe3
